K,Mode,Time,ObjFun
1,3,0.002633,6855.557617
1,0,0.000081,6855.557617
1,1,0.000441,6855.557617
1,2,0.001932,6855.557617
1,3,0.004155,6855.557617
1,0,0.000021,6855.557617
1,1,0.003038,6855.557617
1,2,0.002001,6855.557617
1,3,0.002232,6855.557617
1,0,0.000021,6855.557617
1,1,0.002010,6855.557617
1,2,0.001898,6855.557617
1,3,0.002181,6855.557617
2,0,0.000045,1822.469971
2,1,0.002403,1822.469971
2,2,0.004432,1822.469971
2,3,0.002107,1822.469971
2,0,0.000048,1822.469971
2,1,0.000452,1822.469971
2,2,0.002489,1822.469971
2,3,0.002078,1822.469971
2,0,0.000035,1822.470093
2,1,0.002479,1822.470093
2,2,0.003414,1822.470093
2,3,0.002653,1822.470093
2,0,0.000043,1822.470093
2,1,0.003185,1822.470093
2,2,0.003235,1822.470093
2,3,0.002008,1822.470093
2,0,0.000035,1822.469971
2,1,0.001763,1822.469971
2,2,0.002381,1822.469971
2,3,0.004044,1822.469971
2,0,0.000035,1822.469971
2,1,0.002315,1822.469971
2,2,0.002527,1822.469971
2,3,0.003864,1822.469971
2,0,0.000034,1822.469971
2,1,0.002588,1822.469971
2,2,0.002535,1822.469971
2,3,0.002662,1822.469971
2,0,0.000053,1822.470093
2,1,0.002110,1822.470093
2,2,0.003290,1822.470093
2,3,0.005611,1822.470093
2,0,0.000078,1822.470093
2,1,0.000450,1822.470093
2,2,0.003454,1822.470093
2,3,0.003987,1822.470093
2,0,0.000032,1822.470093
2,1,0.000466,1822.470093
2,2,0.003281,1822.470093
2,3,0.002124,1822.470093
2,0,0.000035,1822.470093
2,1,0.001990,1822.470093
2,2,0.003266,1822.470093
2,3,0.003172,1822.470093
2,0,0.000114,1822.470093
2,1,0.000405,1822.470093
2,2,0.003605,1822.470093
2,3,0.003426,1822.470093
2,0,0.000035,1822.469971
2,1,0.002385,1822.469971
2,2,0.002577,1822.469971
2,3,0.002489,1822.469971
2,0,0.000035,1822.469971
2,1,0.003268,1822.469971
2,2,0.002415,1822.469971
2,3,0.002418,1822.469971
2,0,0.000034,1822.469971
2,1,0.002119,1822.469971
2,2,0.002476,1822.469971
2,3,0.001885,1822.469971
2,0,0.000033,2310.872314
2,1,0.003767,2310.872314
2,2,0.002661,2310.872314
2,3,0.003925,2310.872314
2,0,0.000033,2310.872314
2,1,0.003695,2310.872314
2,2,0.002593,2310.872314
2,3,0.004075,2310.872314
2,0,0.000035,1822.470093
2,1,0.003294,1822.470093
2,2,0.003350,1822.470093
2,3,0.002045,1822.470093
2,0,0.000120,1822.470093
2,1,0.000434,1822.470093
2,2,0.003399,1822.470093
2,3,0.002123,1822.470093
2,0,0.000117,1822.470093
2,1,0.000434,1822.470093
2,2,0.003278,1822.470093
2,3,0.003773,1822.470093
2,0,0.000067,2310.872314
2,1,0.000448,2310.872314
2,2,0.002449,2310.872314
2,3,0.007393,2310.872314
2,0,0.000043,2310.872314
2,1,0.002479,2310.872314
2,2,0.002428,2310.872314
2,3,0.003446,2310.872314
2,0,0.000043,2310.872314
2,1,0.001950,2310.872314
2,2,0.002692,2310.872314
2,3,0.002554,2310.872314
2,0,0.000027,1822.469971
2,1,0.000475,1822.469971
2,2,0.002536,1822.469971
2,3,0.003981,1822.469971
2,0,0.000034,1822.469971
2,1,0.002479,1822.469971
2,2,0.002568,1822.469971
2,3,0.002671,1822.469971
2,0,0.000044,1822.470093
2,1,0.002093,1822.470093
2,2,0.003323,1822.470093
2,3,0.002117,1822.470093
2,0,0.000044,1822.470093
2,1,0.002094,1822.470093
2,2,0.004137,1822.470093
2,3,0.001952,1822.470093
2,0,0.000045,1822.470093
2,1,0.001495,1822.470093
2,2,0.003580,1822.470093
