K,Mode,Time,ObjFun
1,1,0.001874,707074.5625
1,2,0.03262,707074.5625
1,3,0.078171,707074.5625
1,0,0.001956,707074.5625
1,1,0.001658,707074.5625
1,2,0.064183,707074.5625
1,3,0.116404,707074.5625
2,0,0.012911,192321.328125
2,1,0.003312,192321.328125
2,2,0.098603,192321.328125
2,3,0.173031,192321.328125
2,0,0.017175,234337.40625
2,1,0.00286,234337.40625
2,2,0.347033,234337.40625
2,3,0.367402,234337.40625
2,0,0.020533,234337.40625
2,1,0.002779,234337.40625
2,2,0.21991,234337.40625
2,3,0.188168,234337.40625
2,0,0.015617,234337.40625
2,1,0.002856,234337.40625
2,2,0.140341,234337.40625
2,3,0.097488,234337.40625
2,0,0.018614,192321.328125
2,1,0.012694,192321.328125
2,2,0.176847,192321.328125
2,3,0.092411,192321.328125
2,0,0.007173,234337.40625
2,1,0.010981,234337.40625
2,2,0.122223,234337.40625
2,3,0.102308,234337.40625
2,0,0.006024,192321.328125
2,1,0.003258,192321.328125
2,2,0.191192,192321.328125
2,3,0.058316,192321.328125
2,0,0.006679,192321.328125
2,1,0.011684,192321.328125
2,2,0.117449,192321.328125
2,3,0.12677,192321.328125
2,0,0.018639,192321.46875
2,1,0.003326,192321.46875
2,2,0.215347,192321.46875
2,3,0.164626,192321.46875
2,0,0.022083,192321.328125
2,1,0.011287,192321.328125
2,2,0.10115,192321.328125
2,3,0.178638,192321.328125
2,0,0.019078,234337.40625
2,1,0.003129,234337.40625
2,2,0.362373,234337.40625
2,3,0.349431,234337.40625
2,0,0.019121,234337.40625
2,1,0.003347,234337.40625
2,2,0.193105,234337.40625
2,3,0.216391,234337.40625
2,0,0.004347,192321.328125
2,1,0.003817,192321.328125
2,2,0.162685,192321.328125
2,3,0.05884,192321.328125
2,0,0.007176,234337.40625
2,1,0.002829,234337.40625
2,2,0.311713,234337.40625
2,3,0.221148,234337.40625
2,0,0.008278,192321.328125
2,1,0.012865,192321.328125
2,2,0.128727,192321.328125
2,3,0.113419,192321.328125
2,0,0.007142,234337.40625
2,1,0.015208,234337.40625
2,2,0.302758,234337.40625
2,3,0.200194,234337.40625
2,0,0.035554,234337.40625
2,1,0.003249,234337.40625
2,2,0.13341,234337.40625
2,3,0.174131,234337.40625
2,0,0.006764,192321.328125
2,1,0.003187,192321.328125
2,2,0.104421,192321.328125
2,3,0.12979,192321.328125
2,0,0.016092,234337.40625
2,1,0.002724,234337.40625
2,2,0.276617,234337.40625
2,3,0.320367,234337.40625
2,0,0.007025,234337.40625
2,1,0.003027,234337.40625
2,2,0.249196,234337.40625
2,3,0.399038,234337.40625
3,0,0.023518,128325.992188
3,1,0.016276,128325.992188
3,2,0.200742,128325.992188
3,3,0.121783,128325.992188
3,0,0.026264,71084.585938
3,1,0.004766,71084.585938
3,2,0.18165,71084.585938
3,3,0.142442,71084.585938
3,0,0.018549,128325.75
3,1,0.003994,128325.75
3,2,0.197356,128325.75
3,3,0.163616,128325.75
3,0,0.019096,71084.351562
3,1,0.004845,71084.351562
3,2,0.176496,71084.351562
3,3,0.097043,71084.351562
3,0,0.023495,181385.5625
3,1,0.011946,181385.5625
3,2,0.174095,181385.5625
3,3,0.110856,181385.5625
3,0,0.020008,109636.34375
3,1,0.003871,109636.34375
3,2,0.268211,109636.34375
3,3,0.064958,109636.34375
3,0,0.008558,71084.585938
3,1,0.004012,71084.585938
3,2,0.186392,71084.585938
3,3,0.159371,71084.585938
3,0,0.010604,71084.351562
3,1,0.004611,71084.351562
3,2,0.1566,71084.351562
3,3,0.152105,71084.351562
3,0,0.018872,71084.351562
3,1,0.013293,71084.351562
3,2,0.14623,71084.351562
3,3,0.089993,71084.351562
3,0,0.022898,71084.351562
3,1,0.004487,71084.351562
3,2,0.203627,71084.351562
3,3,0.107577,71084.351562
3,0,0.019165,71084.429688
3,1,0.003823,71084.429688
3,2,0.126674,71084.429688
3,3,0.199986,71084.429688
3,0,0.022435,71084.585938
3,1,0.00414,71084.585938
3,2,0.130875,71084.585938
3,3,0.069793,71084.585938
3,0,0.020717,71084.351562
3,1,0.004066,71084.351562
3,2,0.140584,71084.351562
3,3,0.149016,71084.351562
3,0,0.019282,109636.34375
3,1,0.015435,109636.34375
3,2,0.149761,109636.34375
3,3,0.142371,109636.34375
3,0,0.010147,128325.75
3,1,0.016381,128325.75
3,2,0.11159,128325.75
3,3,0.18111,128325.75
3,0,0.022044,71084.585938
3,1,0.016958,71084.585938
3,2,0.13772,71084.585938
3,3,0.14584,71084.585938
3,0,0.008704,71084.351562
3,1,0.012222,71084.351562
3,2,0.14452,71084.351562
3,3,0.078676,71084.351562
3,0,0.01698,71084.585938
3,1,0.01612,71084.585938
3,2,0.218236,71084.585938
3,3,0.090625,71084.585938
3,0,0.01892,71084.351562
3,1,0.004202,71084.351562
3,2,0.201101,71084.351562
3,3,0.160712,71084.351562
3,0,0.02904,128325.75
3,1,0.004606,128325.75
3,2,0.235204,128325.75
3,3,0.181008,128325.75
4,0,0.034906,7088.910645
4,1,0.004746,7088.910645
4,2,0.116791,7088.910645
4,3,0.134198,7088.910645
4,0,0.039658,7088.916016
4,1,0.005387,7088.916016
4,2,0.146966,7088.916016
4,3,0.102088,7088.916016
4,0,0.050405,181385.5625
4,1,0.01478,181385.5625
4,2,0.213138,181385.5625
4,3,0.133811,181385.5625
4,0,0.02083,7088.918457
4,1,0.013902,7088.918457
4,2,0.097631,7088.918457
4,3,0.100109,7088.918457
4,0,0.030655,7088.893555
4,1,0.014422,7088.893555
4,2,2.194639,7088.893555
