K,Mode,Time,ObjFun
4,0,0.461245,7061983.500000
4,1,0.102867,7061983.500000
4,2,0.652467,7061983.500000
4,3,0.571327,7061983.500000
4,0,0.718074,720796.125000
4,1,0.100778,720796.125000
4,2,0.844323,720796.125000
4,3,1.098259,720796.125000
4,0,0.499132,720791.625000
4,1,0.102492,720791.625000
4,2,0.702811,720791.625000
4,3,1.785486,720791.625000
4,0,1.227945,720774.562500
4,1,0.102509,720774.562500
4,2,75.512894,720774.562500
4,3,67.133621,720774.562500
4,0,0.601741,720771.812500
4,1,0.100740,720771.812500
4,2,0.829564,720771.812500
4,3,2.438488,720771.812500
5,0,72.950981,6968917.500000
5,1,0.126686,6968917.500000
5,2,5.679057,6968917.500000
5,3,8.337596,6968917.500000
5,0,30.754944,7000821.000000
5,1,0.130599,7000821.000000
5,2,0.563009,7000821.000000
5,3,0.374855,7000821.000000
5,0,36.425220,12666339.000000
5,1,0.130650,12666339.000000
5,2,47.435097,12666339.000000
5,3,11.775279,12666339.000000
5,0,0.706607,720781.125000
5,1,0.127538,720781.125000
5,2,40.223000,720781.125000
5,3,8.117558,720781.125000
5,0,46.758305,663132.875000
5,1,0.127323,663132.875000
5,2,50.693729,663132.875000
5,3,10.966615,663132.875000
5,0,22.885612,663075.812500
5,1,0.123252,663075.812500
5,2,54.506561,663075.812500
5,3,46.154976,663075.812500
5,0,46.557819,6953812.500000
5,1,0.124445,6953812.500000
5,2,75.426788,6953812.500000
5,3,26.384424,6953812.500000
5,0,0.723802,720759.625000
5,1,0.129820,720759.625000
5,2,0.841129,720759.625000
5,3,0.398645,720759.625000
5,0,72.897705,6965551.500000
5,1,0.122083,6965551.500000
5,2,68.502571,6965551.500000
5,3,29.959284,6965551.500000
5,0,6.178101,663554.937500
5,1,0.127481,663554.937500
5,2,23.202745,663554.937500
5,3,3.854217,663554.937500
6,0,51.357059,663228.375000
6,1,0.141153,663228.375000
6,2,33.624001,663228.375000
6,3,32.882977,663228.375000
6,0,40.081894,623690.312500
6,1,0.142859,623690.312500
6,2,43.227566,623690.312500
6,3,4.990919,623690.312500
6,0,23.266989,7000936.000000
6,1,0.145152,7000936.000000
6,2,1.094680,7000936.000000
6,3,0.914821,7000936.000000
6,0,61.176739,605733.125000
6,1,0.141810,605733.125000
6,2,75.209793,605733.125000
6,3,51.428825,605733.125000
6,0,6.489315,663313.875000
6,1,0.141158,663313.875000
6,2,4.871110,663313.875000
6,3,14.675528,663313.875000
6,0,46.036564,605567.500000
6,1,0.142611,605567.500000
6,2,57.418728,605567.500000
6,3,50.340199,605567.500000
6,0,9.057148,7011290.000000
6,1,0.136754,7011290.000000
6,2,0.479290,7011290.000000
6,3,0.597401,7011290.000000
6,0,44.327728,605435.000000
6,1,0.141421,605435.000000
6,2,70.370728,605435.000000
6,3,49.815151,605435.000000
6,0,37.235081,663166.125000
6,1,0.141970,663166.125000
6,2,41.811676,663166.125000
6,3,24.545853,663166.125000
6,0,0.964485,720762.375000
6,1,0.142528,720762.375000
6,2,0.770740,720762.375000
6,3,0.404582,720762.375000
7,0,48.179611,605690.750000
7,1,0.158082,605690.750000
7,2,72.962395,605690.750000
7,3,54.142822,605690.750000
7,0,105.352470,605914.625000
7,1,0.160484,605914.625000
7,2,111.891159,605914.625000
7,3,30.202765,605914.625000
7,0,31.433752,663228.375000
7,1,0.153850,663228.375000
7,2,41.589447,663228.375000
7,3,5.668640,663228.375000
7,0,74.894783,605744.687500
7,1,0.159282,605744.687500
7,2,77.909218,605744.687500
7,3,16.586700,605744.687500
7,0,64.065590,663063.000000
7,1,0.159330,663063.000000
7,2,8.367753,663063.000000
7,3,53.088306,663063.000000
7,0,167.577545,548148.250000
7,1,0.160477,548148.250000
7,2,5.991529,548148.250000
7,3,3.918999,548148.250000
7,0,153.139999,548446.375000
7,1,0.161820,548446.375000
7,2,170.116013,548446.375000
7,3,35.293976,548446.375000
7,0,72.907280,605785.437500
7,1,0.162506,605785.437500
7,2,47.551235,605785.437500
7,3,97.866798,605785.437500
7,0,109.916267,663237.625000
7,1,0.155895,663237.625000
7,2,62.580013,663237.625000
7,3,51.618687,663237.625000
7,0,16.416643,663196.750000
7,1,0.158720,663196.750000
7,2,0.788595,663196.750000
7,3,0.504587,663196.750000
8,0,52.270100,508987.968750
8,1,0.175766,508987.968750
8,2,50.482845,508987.968750
8,3,120.152962,508987.968750
8,0,96.827179,508708.968750
8,1,0.176964,508708.968750
8,2,62.026108,508708.968750
8,3,53.319141,508708.968750
8,0,104.006706,565916.375000
8,1,0.169509,565916.375000
8,2,104.184784,565916.375000
8,3,25.420292,565916.375000
8,0,202.964752,548020.312500
8,1,0.172831,548020.312500
